                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 0.4412,                 1.6445,                 1.1427,                0.93542,                0.89238,                0.94067,                0.83789,                0.51181,                0.61538,                 1.1234,               0.070638,              0.0032624,              0.0032624
                      2,                0.34038,                0.48618,                 1.0468,                0.95759,                0.90954,                0.97513,                0.87084,                0.48217,                0.46812,                 1.0716,               0.040625,              0.0065827,              0.0065827
                      3,                0.34526,                0.43563,                 1.0465,                 0.9674,                0.87958,                0.96662,                0.85621,                0.53829,                0.55657,                 1.1771,               0.010599,              0.0098898,              0.0098898
                      4,                0.35234,                0.37584,                 1.0565,                0.92862,                 0.9239,                0.96152,                0.84629,                0.53479,                0.62774,                 1.1554,              0.0099406,              0.0099406,              0.0099406
                      5,                0.35658,                0.35483,                 1.0601,                0.81659,                 0.7258,                0.69904,                0.59555,                0.64704,                 1.2824,                 1.3147,              0.0099406,              0.0099406,              0.0099406
                      6,                0.34718,                0.33714,                 1.0416,                0.96894,                0.89605,                0.96015,                  0.837,                0.58956,                 0.5136,                  1.251,              0.0099208,              0.0099208,              0.0099208
                      7,                0.34059,                0.31438,                 1.0437,                0.98864,                0.89559,                0.96033,                0.84424,                0.53497,                0.42922,                 1.1654,               0.009901,               0.009901,               0.009901
                      8,                0.34462,                0.30441,                 1.0414,                0.94011,                 0.8649,                0.93252,                0.82002,                 0.5847,                0.49834,                 1.2128,              0.0098812,              0.0098812,              0.0098812
                      9,                0.34456,                0.29573,                 1.0464,                0.96469,                0.88817,                 0.9637,                0.83547,                 0.5954,                 0.4617,                 1.2746,              0.0098614,              0.0098614,              0.0098614
                     10,                0.33825,                0.29346,                 1.0381,                0.95274,                0.90056,                0.96531,                0.81828,                0.58712,                0.45613,                 1.2128,              0.0098416,              0.0098416,              0.0098416
                     11,                0.34248,                 0.2938,                 1.0413,                0.95115,                0.83027,                0.90829,                0.70472,                0.87037,                0.71036,                 1.7376,              0.0098218,              0.0098218,              0.0098218
                     12,                 0.3366,                0.29809,                 1.0319,                0.98528,                 0.8662,                0.93808,                0.80338,                0.69633,                 0.5866,                 1.5107,               0.009802,               0.009802,               0.009802
                     13,                0.32796,                0.28588,                 1.0249,                0.94947,                0.93251,                0.97427,                 0.8543,                0.52831,                0.40458,                   1.17,              0.0097822,              0.0097822,              0.0097822
                     14,                0.33133,                0.27405,                 1.0394,                0.99001,                0.89678,                0.96484,                0.85628,                0.52315,                0.40019,                 1.1547,              0.0097624,              0.0097624,              0.0097624
