                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.45752,                 1.8977,                 1.0855,                0.97144,                0.87774,                0.96834,                0.89563,                0.43635,                0.38069,                 1.0542,              0.0032975,              0.0032975,              0.0032975
                      2,                0.46116,                0.36946,                 1.0891,                0.95578,                0.94201,                0.97954,                 0.8984,                0.44044,                0.32743,                 1.0538,              0.0066177,              0.0066177,              0.0066177
                      3,                0.47177,                0.32868,                  1.082,                0.95343,                0.92606,                0.97484,                0.88996,                0.45397,                 0.3404,                 1.0674,              0.0099247,              0.0099247,              0.0099247
                      4,                0.47949,                 0.3447,                 1.0802,                 0.9571,                0.94628,                0.98129,                0.89155,                0.47035,                0.33002,                 1.0941,              0.0099406,              0.0099406,              0.0099406
                      5,                0.46697,                0.32211,                 1.0827,                0.97002,                0.91761,                0.97864,                0.88872,                0.47301,                0.32569,                 1.1004,              0.0099406,              0.0099406,              0.0099406
                      6,                0.48035,                0.33523,                 1.0847,                0.95191,                0.94023,                0.97896,                0.89251,                0.46582,                0.32262,                 1.0756,              0.0099208,              0.0099208,              0.0099208
                      7,                0.47514,                0.31909,                 1.0792,                0.96202,                0.92987,                0.97732,                0.90103,                0.43898,                 0.3352,                 1.0556,               0.009901,               0.009901,               0.009901
                      8,                0.48379,                0.32728,                 1.0855,                0.96615,                 0.9123,                0.97743,                0.88563,                0.47425,                0.35575,                 1.0761,              0.0098812,              0.0098812,              0.0098812
                      9,                0.47159,                0.33091,                 1.0762,                0.93417,                0.94279,                0.97767,                0.88934,                0.44874,                 0.3082,                 1.0535,              0.0098614,              0.0098614,              0.0098614
                     10,                0.47448,                0.31809,                 1.0818,                  0.953,                0.94822,                0.98292,                0.89131,                0.46874,                 0.3216,                 1.1014,              0.0098416,              0.0098416,              0.0098416
                     11,                0.47269,                0.30847,                 1.0793,                0.96647,                0.92889,                0.98057,                0.88149,                0.50006,                 0.3145,                 1.1276,              0.0098218,              0.0098218,              0.0098218
                     12,                0.47723,                0.31118,                 1.0817,                0.96967,                0.93381,                0.98206,                0.89362,                0.46365,                0.31459,                 1.0809,               0.009802,               0.009802,               0.009802
                     13,                0.46646,                0.30294,                 1.0746,                0.94885,                0.95753,                0.98447,                0.89543,                 0.4563,                0.30552,                 1.0612,              0.0097822,              0.0097822,              0.0097822
                     14,                0.45129,                0.30339,                 1.0616,                0.96075,                0.92893,                0.97938,                0.89365,                0.44596,                0.30258,                 1.0524,              0.0097624,              0.0097624,              0.0097624
                     15,                0.47387,                0.30822,                 1.0835,                0.96348,                 0.9509,                0.98011,                0.89782,                 0.4514,                0.31964,                 1.0597,              0.0097426,              0.0097426,              0.0097426
                     16,                0.47084,                0.31059,                 1.0796,                0.96929,                0.93022,                0.97613,                0.88719,                0.46966,                0.32172,                 1.1184,              0.0097228,              0.0097228,              0.0097228
                     17,                0.46239,                0.30639,                 1.0703,                0.94562,                0.93596,                0.97868,                0.90423,                 0.4298,                0.29621,                 1.0376,               0.009703,               0.009703,               0.009703
                     18,                 0.4621,                0.30503,                 1.0749,                0.96075,                0.93648,                0.97904,                 0.9039,                0.45192,                0.32838,                 1.0748,              0.0096832,              0.0096832,              0.0096832
                     19,                0.46705,                0.30962,                 1.0753,                0.97415,                0.93192,                0.98109,                0.89868,                0.44013,                0.29156,                 1.0454,              0.0096634,              0.0096634,              0.0096634
                     20,                0.45748,                0.29169,                 1.0663,                0.95917,                0.94182,                0.98229,                0.89798,                0.45373,                0.30484,                 1.0879,              0.0096436,              0.0096436,              0.0096436
                     21,                0.46408,                0.30636,                 1.0694,                0.97198,                0.91515,                0.97093,                0.88445,                 0.4873,                0.32966,                 1.1356,              0.0096238,              0.0096238,              0.0096238
                     22,                0.46382,                 0.3046,                 1.0722,                0.98925,                0.93566,                0.98664,                0.90164,                0.45117,                0.28192,                 1.0774,               0.009604,               0.009604,               0.009604
                     23,                0.45859,                0.30425,                 1.0656,                0.96323,                 0.9553,                0.98653,                0.89928,                0.45356,                0.29308,                 1.0849,              0.0095842,              0.0095842,              0.0095842
                     24,                0.45552,                0.29715,                 1.0656,                0.95445,                0.95906,                0.98334,                0.89397,                0.44244,                0.29286,                 1.0444,              0.0095644,              0.0095644,              0.0095644
                     25,                0.45332,                0.29782,                 1.0731,                0.96355,                0.93246,                0.97747,                0.89228,                0.46025,                0.33046,                 1.0885,              0.0095446,              0.0095446,              0.0095446
                     26,                0.45528,                0.29578,                 1.0676,                0.95827,                0.93101,                0.98302,                0.90711,                0.43303,                 0.2984,                 1.0622,              0.0095248,              0.0095248,              0.0095248
                     27,                  0.469,                0.30785,                 1.0731,                0.97065,                0.94783,                0.98615,                0.90256,                0.45136,                0.30397,                 1.0781,               0.009505,               0.009505,               0.009505
                     28,                0.45543,                0.29989,                 1.0683,                0.97832,                0.92502,                0.97615,                 0.8994,                0.46062,                0.31843,                 1.0793,              0.0094852,              0.0094852,              0.0094852
                     29,                0.45433,                 0.2953,                 1.0656,                0.94137,                0.94828,                0.98183,                0.90441,                0.44799,                0.33616,                 1.0591,              0.0094654,              0.0094654,              0.0094654
                     30,                0.44748,                0.29503,                 1.0678,                0.97985,                0.92594,                0.98257,                0.89024,                0.45798,                0.29447,                 1.0818,              0.0094456,              0.0094456,              0.0094456
                     31,                0.44969,                0.29607,                 1.0656,                0.97284,                0.93658,                0.98356,                0.90505,                0.42979,                0.31299,                 1.0354,              0.0094258,              0.0094258,              0.0094258
                     32,                0.44188,                0.29129,                 1.0591,                0.96763,                0.93367,                0.98434,                 0.9034,                0.45108,                0.29129,                 1.0637,               0.009406,               0.009406,               0.009406
                     33,                0.45137,                0.29168,                 1.0644,                0.96282,                0.94315,                0.98242,                0.91213,                 0.4273,                0.29114,                 1.0573,              0.0093862,              0.0093862,              0.0093862
                     34,                 0.4433,                0.28835,                 1.0636,                0.97158,                0.95392,                 0.9829,                0.90444,                0.45464,                0.29345,                 1.0766,              0.0093664,              0.0093664,              0.0093664
                     35,                0.44621,                0.28115,                 1.0578,                0.98594,                0.94169,                0.98392,                0.90146,                0.44397,                0.27224,                 1.0377,              0.0093466,              0.0093466,              0.0093466
