                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.98894,                 2.0228,                 1.2953,                 0.5557,                0.33386,                0.33658,                 0.2902,                0.49287,                0.70037,                0.98301,               0.070138,               0.003318,               0.003318
                      2,                0.80828,                 1.1005,                 1.1515,                0.50088,                0.43717,                0.40858,                0.34342,                0.46388,                0.57063,                0.96439,               0.040125,              0.0066381,              0.0066381
                      3,                  0.789,                 1.0123,                 1.1302,                0.49749,                0.41096,                0.40408,                0.33306,                0.51261,                0.67161,                0.99466,               0.010099,              0.0099451,              0.0099451
                      4,                0.80575,                 1.0247,                 1.1377,                 0.5821,                0.44364,                0.43674,                0.35777,                 0.5105,                0.61842,                 1.0051,              0.0099406,              0.0099406,              0.0099406
                      5,                 0.7948,                0.99183,                 1.1312,                0.60547,                0.47572,                 0.4474,                0.36148,                0.50498,                0.59031,                 1.0132,              0.0099406,              0.0099406,              0.0099406
                      6,                0.78945,                0.96349,                 1.1205,                0.62239,                0.41056,                0.42122,                0.34716,                0.51659,                0.59802,                 0.9996,              0.0099208,              0.0099208,              0.0099208
                      7,                0.78502,                0.95164,                 1.1202,                0.43456,                0.50373,                0.46347,                0.37771,                0.50196,                0.56466,                 1.0021,               0.009901,               0.009901,               0.009901
                      8,                0.77362,                  0.933,                 1.1116,                0.46865,                0.53303,                0.45363,                0.37353,                0.46841,                0.59134,                 0.9687,              0.0098812,              0.0098812,              0.0098812
                      9,                0.76239,                0.91475,                 1.1062,                0.46455,                0.52388,                0.45962,                0.37938,                0.46912,                0.52853,                 0.9606,              0.0098614,              0.0098614,              0.0098614
                     10,                0.76432,                0.91374,                 1.1034,                0.48406,                0.48798,                0.48356,                0.39676,                0.45573,                0.51557,                0.95133,              0.0098416,              0.0098416,              0.0098416
                     11,                0.76213,                0.90265,                 1.1043,                0.48766,                0.52787,                0.49711,                0.40514,                0.45745,                0.53484,                0.95543,              0.0098218,              0.0098218,              0.0098218
                     12,                0.75256,                0.88235,                 1.0995,                0.56335,                0.49318,                 0.4876,                0.39701,                0.46662,                0.52129,                0.96296,               0.009802,               0.009802,               0.009802
                     13,                0.74919,                0.87885,                  1.098,                0.43718,                0.56606,                0.50321,                0.40784,                0.45661,                0.48896,                0.96359,              0.0097822,              0.0097822,              0.0097822
                     14,                0.74715,                0.87113,                 1.0963,                0.48502,                0.54138,                0.48838,                0.39928,                0.45006,                0.49174,                0.95781,              0.0097624,              0.0097624,              0.0097624
                     15,                0.74463,                0.86317,                 1.0943,                0.46321,                0.54913,                0.50101,                0.41023,                0.45257,                0.49467,                0.95419,              0.0097426,              0.0097426,              0.0097426
                     16,                0.73788,                0.86043,                 1.0923,                 0.4834,                0.51797,                0.48708,                0.40129,                0.45602,                0.50814,                0.95673,              0.0097228,              0.0097228,              0.0097228
                     17,                0.73815,                0.85657,                 1.0866,                0.46863,                0.52564,                 0.4801,                 0.3942,                0.44262,                0.47916,                0.95002,               0.009703,               0.009703,               0.009703
                     18,                0.73095,                0.84253,                 1.0883,                0.45951,                  0.502,                 0.4942,                0.40535,                0.45512,                0.50232,                0.96998,              0.0096832,              0.0096832,              0.0096832
                     19,                0.72541,                0.83178,                 1.0817,                0.48284,                0.54613,                0.49629,                0.40689,                0.44303,                0.47038,                0.94392,              0.0096634,              0.0096634,              0.0096634
                     20,                0.72623,                0.82938,                 1.0791,                0.50055,                0.52848,                0.49548,                0.40397,                0.45049,                0.48186,                0.95553,              0.0096436,              0.0096436,              0.0096436
                     21,                0.72369,                0.82416,                 1.0813,                0.48405,                0.55524,                 0.5042,                0.40988,                0.44715,                0.46332,                0.96388,              0.0096238,              0.0096238,              0.0096238
                     22,                 0.7213,                0.82445,                 1.0803,                0.54804,                0.55797,                 0.4961,                0.40527,                0.44186,                0.47421,                0.94797,               0.009604,               0.009604,               0.009604
                     23,                0.71756,                0.81504,                 1.0759,                0.47886,                0.58456,                0.50322,                0.41327,                 0.4319,                0.45911,                0.94633,              0.0095842,              0.0095842,              0.0095842
                     24,                0.72268,                0.82093,                 1.0756,                0.45593,                0.53336,                0.50094,                0.40847,                 0.4488,                0.47415,                0.95974,              0.0095644,              0.0095644,              0.0095644
                     25,                0.72126,                0.81189,                 1.0762,                0.43539,                0.56553,                0.49411,                0.40671,                0.44182,                0.46181,                0.95143,              0.0095446,              0.0095446,              0.0095446
                     26,                0.72041,                 0.8126,                 1.0747,                0.53537,                0.55137,                 0.5269,                 0.4308,                 0.4316,                0.47615,                0.93836,              0.0095248,              0.0095248,              0.0095248
                     27,                0.70855,                0.80319,                 1.0739,                0.57788,                0.55876,                0.52259,                0.42831,                0.43783,                0.47136,                0.94775,               0.009505,               0.009505,               0.009505
                     28,                0.70959,                 0.7977,                 1.0754,                0.45789,                0.55069,                0.48798,                0.40029,                0.44032,                0.46212,                0.94668,              0.0094852,              0.0094852,              0.0094852
                     29,                0.70866,                 0.7966,                 1.0725,                0.47888,                0.55849,                0.51216,                0.41831,                0.44288,                0.46167,                0.95401,              0.0094654,              0.0094654,              0.0094654
                     30,                0.70484,                0.78776,                 1.0675,                0.56604,                0.53767,                0.53535,                0.43593,                0.43971,                0.47101,                0.95395,              0.0094456,              0.0094456,              0.0094456
                     31,                0.69859,                0.78171,                  1.066,                0.49912,                0.57219,                0.52365,                0.42885,                0.43185,                0.45478,                0.94134,              0.0094258,              0.0094258,              0.0094258
                     32,                0.69806,                0.76983,                  1.065,                0.46756,                0.51683,                0.50393,                0.41035,                0.43871,                0.44899,                0.95183,               0.009406,               0.009406,               0.009406
                     33,                0.70138,                0.77625,                 1.0685,                0.44857,                0.56681,                0.51521,                0.42137,                0.43887,                0.46603,                0.95047,              0.0093862,              0.0093862,              0.0093862
                     34,                0.70034,                0.77071,                 1.0663,                0.48633,                0.56383,                 0.5136,                0.42174,                0.42983,                0.47329,                0.94032,              0.0093664,              0.0093664,              0.0093664
                     35,                0.69089,                0.76821,                 1.0615,                0.57459,                0.53726,                0.51073,                0.42109,                0.42609,                0.44807,                0.93923,              0.0093466,              0.0093466,              0.0093466
                     36,                0.69463,                 0.7662,                 1.0621,                0.64211,                0.52452,                 0.5271,                0.43064,                0.43242,                0.45757,                0.94072,              0.0093268,              0.0093268,              0.0093268
                     37,                0.69272,                0.75881,                 1.0598,                0.51396,                0.58996,                0.54508,                0.44155,                0.42679,                0.43745,                0.93759,               0.009307,               0.009307,               0.009307
                     38,                0.68975,                0.75212,                 1.0611,                0.47897,                0.57353,                0.51556,                0.42185,                0.43465,                0.46228,                0.94472,              0.0092872,              0.0092872,              0.0092872
                     39,                 0.6928,                0.75506,                 1.0572,                0.49211,                0.55448,                0.52081,                0.42906,                 0.4234,                0.43835,                0.93401,              0.0092674,              0.0092674,              0.0092674
