                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0019,                 2.4569,                 1.2791,                0.72739,                0.33098,                 0.3203,                0.26533,                0.49555,                 1.0306,                 1.0121,              0.0033256,              0.0033256,              0.0033256
                      2,                0.91567,                 1.4672,                 1.2143,                0.53608,                0.41419,                0.38588,                 0.3109,                0.53958,                  0.995,                  1.056,              0.0066458,              0.0066458,              0.0066458
                      3,                0.94308,                 1.3714,                 1.2163,                0.53555,                0.42621,                0.39664,                0.31863,                0.53927,                0.87925,                 1.0409,              0.0099527,              0.0099527,              0.0099527
                      4,                 0.9515,                 1.2955,                 1.2212,                0.60073,                0.46991,                0.43541,                0.35773,                0.49551,                0.71051,                  1.022,              0.0099406,              0.0099406,              0.0099406
                      5,                0.92211,                 1.2016,                 1.2049,                0.59571,                0.46831,                0.44153,                 0.3542,                0.49978,                0.64285,                 1.0228,              0.0099406,              0.0099406,              0.0099406
                      6,                0.91176,                 1.1424,                 1.1982,                0.50016,                0.45845,                0.46152,                0.37037,                0.48083,                0.58073,                 1.0054,              0.0099208,              0.0099208,              0.0099208
                      7,                0.87682,                 1.0748,                 1.1821,                0.54877,                0.45995,                0.44851,                0.36161,                0.47723,                0.56337,                  1.015,               0.009901,               0.009901,               0.009901
                      8,                0.87352,                 1.0464,                 1.1772,                0.41739,                0.48902,                0.42409,                  0.342,                0.49541,                0.68045,                 1.0268,              0.0098812,              0.0098812,              0.0098812
                      9,                0.86113,                 1.0199,                 1.1702,                0.41432,                0.50361,                0.43583,                0.35323,                0.48571,                0.58427,                0.99943,              0.0098614,              0.0098614,              0.0098614
                     10,                0.86985,                 1.0235,                 1.1762,                0.51166,                0.46755,                0.48628,                0.39637,                0.44603,                 0.5144,                0.97185,              0.0098416,              0.0098416,              0.0098416
                     11,                0.84936,                0.98577,                 1.1688,                0.51159,                0.54118,                0.49145,                 0.3979,                0.46016,                0.52033,                0.99365,              0.0098218,              0.0098218,              0.0098218
                     12,                0.84182,                0.97795,                 1.1598,                0.48969,                0.54289,                0.46782,                0.37858,                0.45362,                0.49773,                0.98713,               0.009802,               0.009802,               0.009802
                     13,                0.83914,                0.95942,                 1.1576,                0.44883,                0.51859,                0.47008,                0.37923,                0.46128,                0.50459,                0.98964,              0.0097822,              0.0097822,              0.0097822
                     14,                0.82843,                0.94617,                 1.1535,                0.46327,                 0.5534,                0.48695,                0.39547,                0.45098,                0.49469,                 0.9844,              0.0097624,              0.0097624,              0.0097624
                     15,                0.82753,                 0.9403,                  1.148,                0.46625,                0.54574,                0.48173,                0.39341,                0.44587,                0.47868,                0.97339,              0.0097426,              0.0097426,              0.0097426
                     16,                0.82524,                0.93636,                 1.1496,                0.63389,                0.50346,                0.47799,                0.38883,                0.43576,                0.45909,                 0.9591,              0.0097228,              0.0097228,              0.0097228
                     17,                0.82265,                0.93049,                  1.145,                0.50999,                0.51126,                0.50123,                0.40821,                0.43774,                0.49049,                0.96646,               0.009703,               0.009703,               0.009703
                     18,                0.81562,                  0.916,                 1.1415,                0.49176,                0.58055,                 0.5001,                0.40312,                0.43256,                0.46585,                 0.9631,              0.0096832,              0.0096832,              0.0096832
                     19,                  0.827,                 0.9265,                 1.1471,                0.59089,                0.51823,                0.51056,                0.42128,                0.41964,                0.46013,                0.95736,              0.0096634,              0.0096634,              0.0096634
                     20,                0.81514,                0.91337,                 1.1443,                0.47754,                 0.5516,                0.48521,                0.39356,                0.44664,                0.48459,                0.98175,              0.0096436,              0.0096436,              0.0096436
                     21,                 0.8065,                0.90217,                 1.1382,                0.50907,                0.57666,                0.49351,                0.40391,                0.42479,                0.45835,                0.96877,              0.0096238,              0.0096238,              0.0096238
                     22,                0.79953,                0.89262,                 1.1365,                0.46066,                0.57591,                0.50492,                0.41202,                0.42007,                0.45808,                0.96469,               0.009604,               0.009604,               0.009604
                     23,                0.80432,                0.88777,                 1.1377,                0.53213,                0.54497,                0.50485,                0.40785,                0.42335,                 0.4516,                0.95872,              0.0095842,              0.0095842,              0.0095842
                     24,                0.80548,                0.89156,                 1.1335,                0.53575,                0.52782,                0.51651,                0.41995,                0.42634,                0.45351,                0.96347,              0.0095644,              0.0095644,              0.0095644
                     25,                0.79282,                 0.8754,                 1.1301,                0.45594,                0.56167,                0.50526,                0.41076,                 0.4116,                0.44664,                0.93787,              0.0095446,              0.0095446,              0.0095446
                     26,                0.80226,                0.88832,                 1.1339,                0.49562,                 0.5583,                0.51163,                0.42127,                0.40905,                0.44587,                0.94507,              0.0095248,              0.0095248,              0.0095248
                     27,                0.79431,                0.87188,                 1.1306,                0.56278,                0.55966,                0.52051,                0.42662,                0.42051,                0.44742,                0.96614,               0.009505,               0.009505,               0.009505
                     28,                0.79562,                 0.8776,                 1.1312,                0.49342,                0.57654,                0.51661,                0.42241,                0.41961,                0.43517,                0.95986,              0.0094852,              0.0094852,              0.0094852
                     29,                0.78228,                0.85962,                 1.1234,                0.54915,                0.55727,                0.50766,                0.41067,                0.41055,                  0.442,                 0.9421,              0.0094654,              0.0094654,              0.0094654
                     30,                0.77648,                0.85457,                 1.1218,                0.56086,                0.54983,                0.51108,                0.41335,                0.40877,                0.44785,                 0.9358,              0.0094456,              0.0094456,              0.0094456
                     31,                0.78554,                0.85514,                 1.1257,                0.53323,                0.57538,                0.52895,                0.43334,                0.40736,                0.42704,                 0.9437,              0.0094258,              0.0094258,              0.0094258
                     32,                0.79247,                0.86672,                 1.1277,                  0.555,                0.57934,                0.54221,                0.44098,                 0.4004,                 0.4276,                0.93129,               0.009406,               0.009406,               0.009406
                     33,                0.77931,                0.84978,                 1.1208,                0.59341,                0.47199,                0.53228,                0.43314,                0.40204,                0.43531,                0.93456,              0.0093862,              0.0093862,              0.0093862
                     34,                 0.7818,                0.85004,                 1.1239,                0.51328,                0.55357,                0.52665,                0.43009,                0.41162,                0.42142,                0.94942,              0.0093664,              0.0093664,              0.0093664
                     35,                0.77368,                0.84631,                 1.1177,                0.53052,                0.56958,                0.53064,                0.43511,                 0.4026,                0.42209,                 0.9415,              0.0093466,              0.0093466,              0.0093466
                     36,                 0.7783,                0.84652,                  1.122,                0.53422,                0.56696,                0.52507,                 0.4344,                0.39939,                0.42235,                0.93816,              0.0093268,              0.0093268,              0.0093268
                     37,                0.78375,                0.84922,                 1.1204,                0.51135,                0.58687,                0.54226,                0.44333,                0.39847,                0.42271,                0.93916,               0.009307,               0.009307,               0.009307
                     38,                0.77126,                0.83953,                 1.1152,                0.53904,                0.56854,                0.53676,                0.43886,                0.39831,                0.41996,                0.93703,              0.0092872,              0.0092872,              0.0092872
                     39,                0.77745,                0.84178,                 1.1161,                0.48382,                0.55205,                0.52664,                0.43193,                0.40387,                0.42393,                  0.939,              0.0092674,              0.0092674,              0.0092674
                     40,                0.77987,                0.83741,                 1.1202,                0.49623,                0.58235,                0.52993,                0.42881,                0.40064,                0.41647,                0.93918,              0.0092476,              0.0092476,              0.0092476
                     41,                0.77606,                 0.8362,                 1.1174,                0.57884,                0.59148,                 0.5307,                0.43153,                0.40663,                 0.4231,                0.94601,              0.0092278,              0.0092278,              0.0092278
                     42,                0.76757,                0.82877,                 1.1083,                0.48849,                0.54597,                0.51965,                0.42572,                0.38828,                0.40931,                 0.9213,               0.009208,               0.009208,               0.009208
                     43,                0.76988,                0.83042,                 1.1147,                0.67281,                0.52622,                0.55768,                0.44998,                0.40112,                0.41599,                0.93917,              0.0091882,              0.0091882,              0.0091882
                     44,                0.77732,                0.83178,                 1.1144,                0.47377,                0.59296,                0.53681,                0.43911,                 0.3925,                 0.4093,                0.92389,              0.0091684,              0.0091684,              0.0091684
                     45,                0.77539,                 0.8315,                 1.1139,                0.50467,                0.57136,                0.54247,                0.43984,                0.39804,                0.42695,                 0.9363,              0.0091486,              0.0091486,              0.0091486
                     46,                0.76628,                0.82429,                 1.1108,                0.60211,                0.56004,                0.53532,                0.43434,                0.39392,                0.41081,                0.92578,              0.0091288,              0.0091288,              0.0091288
                     47,                0.76743,                0.82299,                 1.1106,                 0.5646,                0.56297,                0.55631,                0.45231,                0.39222,                0.39848,                0.92739,               0.009109,               0.009109,               0.009109
                     48,                0.76896,                0.81732,                 1.1078,                0.48326,                0.55647,                0.53121,                0.43381,                0.39039,                0.40853,                0.92104,              0.0090892,              0.0090892,              0.0090892
                     49,                0.76467,                0.81264,                 1.1069,                0.56429,                0.58921,                0.55464,                0.45288,                 0.3856,                 0.4042,                0.91908,              0.0090694,              0.0090694,              0.0090694
                     50,                0.76581,                0.81482,                 1.1067,                 0.5279,                0.58749,                0.54292,                0.44257,                0.38824,                0.40761,                0.92123,              0.0090496,              0.0090496,              0.0090496
                     51,                0.76486,                0.81588,                 1.1098,                0.54146,                0.57238,                0.55795,                0.45571,                0.38624,                0.40612,                0.92207,              0.0090298,              0.0090298,              0.0090298
                     52,                0.76501,                0.81937,                 1.1084,                0.50321,                0.56316,                0.53099,                 0.4346,                 0.3928,                0.41136,                0.93309,                0.00901,                0.00901,                0.00901
                     53,                0.75923,                0.81012,                 1.1054,                0.51221,                0.62088,                0.54761,                0.44899,                0.38841,                0.40235,                0.92174,              0.0089902,              0.0089902,              0.0089902
                     54,                0.76249,                0.80808,                 1.1061,                0.48887,                0.58272,                0.52849,                0.43292,                0.38092,                0.39725,                0.91432,              0.0089704,              0.0089704,              0.0089704
                     55,                 0.7676,                0.81588,                 1.1059,                0.53317,                0.57862,                0.54546,                0.44914,                0.38476,                0.40349,                0.92391,              0.0089506,              0.0089506,              0.0089506
                     56,                0.75649,                0.79985,                 1.1027,                0.52962,                0.59069,                0.54432,                 0.4421,                0.38953,                0.40253,                0.92991,              0.0089308,              0.0089308,              0.0089308
                     57,                0.75452,                0.79633,                 1.1004,                0.48257,                 0.6045,                0.54852,                0.44493,                0.38761,                0.39836,                0.92364,               0.008911,               0.008911,               0.008911
                     58,                  0.757,                0.79549,                 1.1018,                0.50253,                0.58275,                 0.5431,                0.44209,                0.38581,                0.40105,                0.93096,              0.0088912,              0.0088912,              0.0088912
                     59,                0.76146,                0.80013,                 1.1028,                0.50038,                0.58708,                0.54079,                0.43677,                 0.3931,                 0.4009,                0.93659,              0.0088714,              0.0088714,              0.0088714
                     60,                0.75399,                0.79751,                 1.1016,                0.53294,                0.59201,                0.54596,                0.44586,                0.38922,                0.39874,                 0.9304,              0.0088516,              0.0088516,              0.0088516
                     61,                0.75237,                 0.7948,                 1.1016,                0.48836,                0.60462,                0.54004,                0.43989,                0.39046,                0.40046,                0.93132,              0.0088318,              0.0088318,              0.0088318
                     62,                0.74595,                0.78337,                 1.1005,                0.50684,                0.57648,                 0.5485,                0.44762,                0.38798,                0.39516,                0.92411,               0.008812,               0.008812,               0.008812
                     63,                0.75972,                0.79466,                 1.1028,                0.54673,                 0.5322,                0.55331,                 0.4518,                0.38318,                0.39849,                 0.9249,              0.0087922,              0.0087922,              0.0087922
                     64,                0.75458,                0.79152,                 1.1009,                0.57907,                0.53289,                0.54915,                0.44808,                0.38443,                0.40193,                0.92112,              0.0087724,              0.0087724,              0.0087724
                     65,                0.75366,                0.79007,                 1.0971,                0.56627,                0.55596,                0.56077,                0.45791,                0.37915,                0.39675,                0.91086,              0.0087526,              0.0087526,              0.0087526
                     66,                0.75785,                0.79521,                 1.1008,                0.56131,                0.58479,                 0.5563,                0.45275,                 0.3817,                 0.4001,                 0.9195,              0.0087328,              0.0087328,              0.0087328
