                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.45412,                0.29842,                 1.0698,                  0.991,                 0.9346,                0.98207,                0.89273,                0.47358,                0.30023,                 1.1095,              0.0093268,              0.0093268,              0.0093268
                     37,                0.45114,                0.29295,                 1.0681,                0.97809,                0.94582,                0.98577,                0.91685,                0.43338,                0.29081,                 1.0501,               0.009307,               0.009307,               0.009307
                     38,                0.44468,                0.28976,                 1.0603,                0.98001,                0.94183,                0.98173,                0.91381,                0.42556,                0.27129,                 1.0433,              0.0092872,              0.0092872,              0.0092872
                     39,                0.45839,                 0.2985,                 1.0709,                0.97834,                 0.9387,                0.98104,                0.90421,                0.43357,                0.29745,                 1.0677,              0.0092674,              0.0092674,              0.0092674
                     40,                0.44699,                0.28434,                 1.0688,                0.97257,                0.94929,                0.98446,                 0.9024,                0.46625,                0.29222,                 1.1092,              0.0092476,              0.0092476,              0.0092476
                     41,                0.44785,                0.28334,                 1.0639,                0.96605,                0.95166,                0.98638,                0.91359,                 0.4303,                0.28914,                 1.0565,              0.0092278,              0.0092278,              0.0092278
                     42,                 0.4583,                0.30026,                 1.0655,                0.96579,                0.95108,                0.97829,                0.89875,                0.45259,                0.28059,                 1.0892,               0.009208,               0.009208,               0.009208
                     43,                 0.4455,                0.27974,                 1.0612,                0.96893,                 0.9438,                 0.9817,                0.91195,                0.40647,                0.26585,                 1.0178,              0.0091882,              0.0091882,              0.0091882
                     44,                0.45039,                0.28837,                 1.0699,                0.97601,                0.94059,                0.98412,                0.90773,                0.43889,                0.29573,                 1.0542,              0.0091684,              0.0091684,              0.0091684
                     45,                0.45598,                0.28904,                 1.0807,                0.97399,                0.93792,                0.97014,                0.89359,                0.46011,                0.31754,                 1.0961,              0.0091486,              0.0091486,              0.0091486
                     46,                0.44439,                0.28225,                 1.0623,                0.97949,                 0.9305,                0.98026,                0.90032,                0.44429,                0.28234,                 1.0699,              0.0091288,              0.0091288,              0.0091288
                     47,                0.45048,                0.28082,                  1.068,                0.95297,                0.95256,                0.98079,                0.90739,                0.42988,                0.29454,                 1.0364,               0.009109,               0.009109,               0.009109
                     48,                0.44197,                0.28373,                 1.0644,                0.96034,                0.95556,                0.98286,                0.90727,                0.44645,                0.33807,                 1.0666,              0.0090892,              0.0090892,              0.0090892
                     49,                0.45862,                0.28761,                 1.0713,                 0.9736,                0.93695,                0.98643,                0.91298,                0.41406,                0.27668,                 1.0222,              0.0090694,              0.0090694,              0.0090694
                     50,                0.43817,                0.27986,                 1.0565,                0.98535,                0.92861,                0.97858,                0.91202,                0.42091,                0.26964,                 1.0347,              0.0090496,              0.0090496,              0.0090496
                     51,                0.43958,                 0.2787,                 1.0647,                0.98825,                0.94279,                 0.9847,                 0.9252,                0.40287,                0.26654,                 1.0207,              0.0090298,              0.0090298,              0.0090298
                     52,                0.43016,                0.27831,                 1.0589,                0.96848,                0.94725,                0.98346,                0.91436,                 0.4185,                0.27375,                 1.0324,                0.00901,                0.00901,                0.00901
                     53,                0.43147,                 0.2714,                 1.0637,                0.97584,                0.95567,                0.98821,                0.92051,                 0.4146,                0.26106,                 1.0352,              0.0089902,              0.0089902,              0.0089902
                     54,                0.43333,                0.27757,                 1.0544,                0.96759,                0.96004,                0.98601,                0.90325,                 0.4354,                 0.2669,                 1.0751,              0.0089704,              0.0089704,              0.0089704
                     55,                0.43773,                0.26974,                 1.0554,                0.96671,                0.94391,                0.97663,                0.90378,                0.42729,                0.27336,                 1.0634,              0.0089506,              0.0089506,              0.0089506
                     56,                0.43702,                0.28077,                 1.0588,                 0.9741,                 0.9288,                0.97567,                0.89581,                0.43358,                 0.3189,                 1.0426,              0.0089308,              0.0089308,              0.0089308
                     57,                 0.4347,                0.27553,                 1.0577,                0.97631,                0.95121,                 0.9731,                0.89365,                0.45092,                0.28422,                 1.0925,               0.008911,               0.008911,               0.008911
                     58,                0.43239,                0.27231,                 1.0589,                0.98682,                0.93298,                0.98037,                 0.9105,                  0.427,                0.27717,                 1.0652,              0.0088912,              0.0088912,              0.0088912
                     59,                0.42316,                0.26663,                  1.052,                0.96347,                0.95903,                0.98398,                0.90453,                0.49535,                0.34964,                 1.1792,              0.0088714,              0.0088714,              0.0088714
                     60,                0.43541,                0.27157,                 1.0533,                0.97697,                0.94878,                0.98097,                0.91149,                0.42583,                0.28916,                 1.0529,              0.0088516,              0.0088516,              0.0088516
                     61,                0.43107,                0.26996,                 1.0595,                0.98276,                0.91648,                0.97653,                0.90726,                0.42745,                0.27328,                 1.0559,              0.0088318,              0.0088318,              0.0088318
                     62,                0.43314,                0.28063,                 1.0601,                0.98417,                0.93759,                0.98029,                0.91223,                 0.4146,                0.26995,                 1.0328,               0.008812,               0.008812,               0.008812
                     63,                0.43565,                0.27268,                 1.0558,                0.95907,                0.94878,                 0.9744,                0.91089,                0.40675,                0.28208,                 1.0332,              0.0087922,              0.0087922,              0.0087922
                     64,                0.42699,                0.26885,                 1.0436,                0.98431,                0.94197,                0.98356,                0.90764,                0.44749,                0.27853,                 1.0885,              0.0087724,              0.0087724,              0.0087724
                     65,                0.42829,                0.27016,                 1.0552,                0.97733,                0.96297,                0.98588,                0.91767,                0.40103,                0.25583,                 1.0023,              0.0087526,              0.0087526,              0.0087526
                     66,                0.43084,                0.27139,                 1.0579,                0.97716,                 0.9387,                 0.9775,                  0.892,                0.49642,                0.37553,                 1.1274,              0.0087328,              0.0087328,              0.0087328
                     67,                0.41736,                0.26822,                 1.0446,                0.98318,                0.95128,                0.98345,                 0.9066,                0.43617,                0.28564,                 1.0635,               0.008713,               0.008713,               0.008713
                     68,                0.41526,                0.26593,                 1.0473,                0.97226,                0.96515,                0.98639,                0.90203,                0.48149,                0.33016,                 1.1328,              0.0086932,              0.0086932,              0.0086932
                     69,                0.43361,                0.27647,                  1.053,                0.97687,                0.96177,                0.98806,                0.91629,                0.40409,                0.25598,                 1.0136,              0.0086734,              0.0086734,              0.0086734
                     70,                0.41844,                  0.272,                 1.0462,                 0.9662,                0.94964,                0.98667,                0.91288,                0.41762,                 0.2676,                 1.0472,              0.0086536,              0.0086536,              0.0086536
                     71,                0.42359,                0.26804,                 1.0523,                 0.9776,                0.93859,                0.98228,                0.91317,                0.40429,                0.26454,                 1.0361,              0.0086338,              0.0086338,              0.0086338
                     72,                0.42588,                0.26496,                 1.0502,                0.95976,                0.94143,                0.98045,                  0.914,                0.41231,                0.25993,                  1.046,               0.008614,               0.008614,               0.008614
                     73,                 0.4193,                0.26375,                 1.0405,                0.98766,                0.93948,                0.98337,                0.92102,                0.40243,                0.25228,                 1.0209,              0.0085942,              0.0085942,              0.0085942
                     74,                0.41883,                0.26808,                 1.0413,                0.98075,                 0.9439,                0.97403,                0.91217,                0.41395,                0.25761,                 1.0451,              0.0085744,              0.0085744,              0.0085744
                     75,                0.42171,                 0.2696,                 1.0539,                 0.9707,                0.92986,                0.97921,                0.90668,                0.43857,                0.28003,                 1.0586,              0.0085546,              0.0085546,              0.0085546
                     76,                0.42302,                 0.2688,                 1.0512,                0.96552,                0.95351,                0.98445,                0.90692,                0.42823,                0.26317,                 1.0443,              0.0085348,              0.0085348,              0.0085348
                     77,                0.41697,                 0.2648,                 1.0435,                0.99511,                 0.9281,                  0.983,                0.91603,                0.40847,                0.25734,                 1.0376,               0.008515,               0.008515,               0.008515
